"Game","Team","","TOI","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
" 2019-10-02 - Senators 3, Maple Leafs 5","Ottawa Senators","Limited ReportFull Report","6","30","10","75.00","20","10","66.67","0","0","-","0","0","-","2.77","0.24","92.06","20","0","100.00","20","0","100.00","0","0","-","-","-","-","-","-"
" 2019-10-02 - Senators 3, Maple Leafs 5","Toronto Maple Leafs","Limited ReportFull Report","8.1666666666667","146.94","14.69","90.91","124.9","14.69","89.47","73.47","14.69","83.33","7.35","0","100.00","7.47","1.86","80.07","66.12","7.35","90.00","7.35","7.35","50.00","0","0","-","0.00","100.00","10.00","100.00","1.100"
" 2019-10-02 - Capitals 3, Blues 2","St Louis Blues","Limited ReportFull Report","3.25","92.31","18.46","83.33","73.85","18.46","80.00","36.92","18.46","66.67","18.46","0","100.00","6.44","0.67","90.62","18.46","0","100.00","18.46","0","100.00","0","0","-","-","-","50.00","100.00","1.500"
" 2019-10-02 - Capitals 3, Blues 2","Washington Capitals","Limited ReportFull Report","5.8833333333333","132.58","30.59","81.25","81.59","30.59","72.73","50.99","30.59","62.50","10.2","0","100.00","7.62","0.87","89.77","40.79","0","100.00","30.59","0","100.00","0","0","-","0.00","-","20.00","100.00","1.200"
" 2019-10-02 - Canucks 2, Oilers 3","Edmonton Oilers","Limited ReportFull Report","4","120","0","100.00","45","0","100.00","45","0","100.00","0","0","-","4.6","0","100.00","45","0","100.00","15","0","100.00","0","0","-","0.00","-","0.00","-","-"
" 2019-10-02 - Canucks 2, Oilers 3","Vancouver Canucks","Limited ReportFull Report","8","90","7.5","92.31","82.5","0","100.00","52.5","0","100.00","0","0","-","9.09","0","100.00","60","7.5","88.89","37.5","0","100.00","0","0","-","0.00","-","0.00","-","-"
" 2019-10-02 - Sharks 1, Golden Knights 4","San Jose Sharks","Limited ReportFull Report","6.9833333333333","77.33","25.78","75.00","60.14","25.78","70.00","51.55","25.78","66.67","0","8.59","0.00","5.33","1.48","78.25","51.55","17.18","75.00","8.59","8.59","50.00","0","8.59","0.00","0.00","0.00","0.00","66.67","0.667"
" 2019-10-02 - Sharks 1, Golden Knights 4","Vegas Golden Knights","Limited ReportFull Report","4.3333333333333","152.31","0","100.00","124.62","0","100.00","83.08","0","100.00","13.85","0","100.00","8.96","0","100.00","69.23","0","100.00","13.85","0","100.00","0","0","-","-","-","16.67","-","-"
" 2019-10-03 - Panthers 2, Lightning 5","Florida Panthers","Limited ReportFull Report","6.7666666666667","115.27","8.87","92.86","70.94","8.87","88.89","62.07","8.87","87.50","0","0","-","4.25","0.18","95.99","26.6","0","100.00","8.87","0","100.00","0","0","-","0.00","-","0.00","100.00","1.000"
" 2019-10-03 - Panthers 2, Lightning 5","Tampa Bay Lightning","Limited ReportFull Report","4.2333333333333","99.21","14.17","87.50","99.21","14.17","87.50","99.21","14.17","87.50","14.17","14.17","50.00","10.54","1.08","90.72","42.52","14.17","75.00","28.35","0","100.00","14.17","0","100.00","50.00","-","14.29","0.00","0.143"
