game_id,game_type,season,game_date,home_team_id,home_team,home_abbrev,home_score,away_team_id,away_team,away_abbrev,away_score,ot_flag,shootout_flag,seconds_in_ot,home_win
2022021278,R,20222023,2023-04-10,52,Winnipeg Jets,WPG,6,28,San Jose Sharks,SJS,2,0,0,0,1
2022021275,R,20222023,2023-04-10,3,New York Rangers,NYR,2,7,Buffalo Sabres,BUF,3,0,1,300,0
2022021276,R,20222023,2023-04-10,9,Ottawa Senators,OTT,3,12,Carolina Hurricanes,CAR,2,0,0,0,1
2022021277,R,20222023,2023-04-10,15,Washington Capitals,WSH,5,2,New York Islanders,NYI,2,0,0,0,1
2022021279,R,20222023,2023-04-10,13,Florida Panthers,FLA,1,10,Toronto Maple Leafs,TOR,2,1,0,278,0
2022021280,R,20222023,2023-04-10,17,Detroit Red Wings,DET,1,25,Dallas Stars,DAL,6,0,0,0,0
2022021281,R,20222023,2023-04-10,16,Chicago Blackhawks,CHI,2,30,Minnesota Wild,MIN,4,0,0,0,0
2022021282,R,20222023,2023-04-10,20,Calgary Flames,CGY,2,18,Nashville Predators,NSH,3,0,1,300,0
2022021283,R,20222023,2023-04-10,53,Arizona Coyotes,ARI,1,55,Seattle Kraken,SEA,4,0,0,0,0
2022021284,R,20222023,2023-04-10,26,Los Angeles Kings,LAK,3,23,Vancouver Canucks,VAN,0,0,0,0,1
